question,answer
50 * 1 * 1,50
87 - 9 - 49,29
76 + 28 * 74,2148
19 + 90 - 70,39
39 - 94 * 26,-2405
30 + 23 - 23,30
(71 + 33) * 81,8424
79 - 41 - 99,-61
20 * (31 + 83),2280
75 + 28 * 23,719
70 * 26 + 11,1831
44 * (48 + 66),5016
5 * 68 * 43,14620
27 + 32 + 35,94
44 - 52 - 46,-54
12 + 75 + 83,170
(96 + 4) * 84,8400
(91 + 9) * 54,5400
7 + 29 * 96,2791
73 * 76 * 77,427196
27 + 88 * 27,2403
91 + 72 * 29,2179
72 + 55 + 12,139
65 + 62 * 10,685
15 + 49 + 63,127
(72 + 35) * 9,963
96 + 61 - 54,103
41 - 98 * 60,-5839
31 + 63 + 73,167
39 + 52 - 62,29
10 + 68 + 94,172
29 - 88 - 98,-157
37 * (1 + 42),1591
91 + 7 - 14,84
61 * 10 * 55,33550
22 * 54 + 43,1231
42 + 25 - 18,49
20 * (56 + 22),1560
56 + 10 - 63,3
(87 + 93) * 13,2340
0 * 2 + 16,16
22 - 20 - 62,-60
28 * 69 + 57,1989
86 + 66 + 53,205
70 * (84 + 75),11130
70 * (23 + 57),5600
77 - 53 * 83,-4322
95 * (90 + 92),17290
22 + 4 - 20,6
31 * (16 + 87),3193
70 - 6 * 7,28
25 * 45 * 26,29250
80 + 40 * 46,1920
56 * 76 + 4,4260
26 + 4 * 13,78
27 * 52 * 46,64584
73 * 50 * 46,167900
61 * (83 + 96),10919
6 - 72 - 24,-90
26 - 43 * 44,-1866
84 * 73 * 22,134904
90 + 7 + 91,188
30 + 6 * 7,72
51 - 87 - 52,-88
54 + 18 * 10,234
92 - 97 - 34,-39
88 - 19 * 29,-463
(74 + 42) * 3,348
77 - 59 * 16,-867
71 + 72 + 5,148
2 + 65 * 77,5007
87 - 44 - 90,-47
54 * 6 * 62,20088
5 + 21 + 29,55
64 + 28 - 34,58
76 * 1 * 85,6460
8 - 87 * 15,-1297
68 * 45 * 3,9180
(52 + 0) * 17,884
81 - 59 * 3,-96
(55 + 57) * 86,9632
8 + 25 + 27,60
(74 + 55) * 63,8127
14 - 61 - 97,-144
77 * (61 + 10),5467
59 * (83 + 83),9794
5 + 18 * 56,1013
33 * (9 + 81),2970
34 * 44 + 10,1506
94 - 97 * 14,-1264
82 - 66 * 53,-3416
(15 + 48) * 49,3087
14 * (54 + 30),1176
50 + 69 - 57,62
(53 + 73) * 99,12474
70 - 28 - 89,-47
15 * 75 + 16,1141
93 * 76 * 18,127224
71 * 51 + 11,3632
44 * 51 * 3,6732
18 * 36 + 8,656
83 + 48 - 56,75
62 + 5 * 26,192
23 - 57 - 26,-60
82 * (71 + 15),7052
33 - 0 - 19,14
61 + 20 + 31,112
(86 + 80) * 28,4648
64 * (11 + 22),2112
43 * 59 * 71,180127
7 + 3 + 24,34
71 * 85 * 78,470730
41 + 31 + 7,79
30 - 10 * 40,-370
81 + 48 * 63,3105
0 - 14 - 30,-44
24 * (1 + 44),1080
91 * (54 + 80),12194
76 + 52 + 13,141
86 * 12 + 91,1123
25 + 19 + 42,86
35 * 53 + 12,1867
86 * 41 + 56,3582
13 - 52 - 11,-50
92 - 45 * 27,-1123
7 * 9 * 57,3591
68 * 83 + 72,5716
(28 + 43) * 68,4828
7 * 40 + 77,357
36 + 65 - 13,88
21 * 70 * 43,63210
47 * 71 + 57,3394
30 - 38 * 61,-2288
39 * (41 + 39),3120
78 * (66 + 34),7800
25 * 59 + 66,1541
66 - 74 - 77,-85
38 + 24 - 47,15
31 * (22 + 82),3224
82 + 29 - 42,69
35 * 45 * 19,29925
43 * 17 + 32,763
51 + 28 * 8,275
36 + 16 - 32,20
79 * 91 * 22,158158
31 * 71 * 24,52824
41 - 49 * 84,-4075
7 * 63 + 77,518
7 + 84 * 96,8071
70 + 68 + 52,190
1 - 59 - 28,-86
86 - 90 - 39,-43
38 - 25 - 91,-78
31 - 85 - 98,-152
88 + 4 - 20,72
50 + 60 + 18,128
10 * 60 + 83,683
(90 + 37) * 83,10541
3 * (4 + 54),174
20 + 77 * 27,2099
(9 + 3) * 39,468
(28 + 70) * 23,2254
80 + 26 + 33,139
(81 + 76) * 92,14444
12 - 73 - 15,-76
5 + 98 * 87,8531
88 + 45 * 44,2068
62 - 63 * 36,-2206
43 * (32 + 28),2580
86 + 27 * 34,1004
70 * 84 + 64,5944
89 + 14 - 42,61
8 * 44 * 52,18304
7 - 3 - 76,-72
19 * (20 + 48),1292
25 * (70 + 58),3200
82 + 4 + 99,185
13 + 55 * 87,4798
97 + 29 + 86,212
29 * 17 * 40,19720
70 * (53 + 33),6020
85 + 72 + 51,208
24 * (64 + 63),3048
36 * (54 + 42),3456
(30 + 22) * 46,2392
22 + 48 * 21,1030
53 * 65 * 66,227370
1 * (65 + 10),75
7 + 13 + 3,23
34 - 80 * 73,-5806
76 * 67 * 48,244416
83 + 98 - 91,90
84 - 0 - 96,-12
59 * 2 + 59,177
9 + 45 + 18,72
17 - 32 * 42,-1327
(10 + 17) * 18,486
47 - 95 - 93,-141
(81 + 74) * 64,9920
64 - 26 - 37,1
69 * 21 * 38,55062
79 + 29 * 45,1384
8 * 96 * 38,29184
40 * (79 + 74),6120
59 * 59 + 9,3490
61 + 29 - 2,88
97 + 12 * 89,1165
74 + 3 * 97,365
39 + 24 + 29,92
31 + 30 - 73,-12
33 + 65 + 94,192
69 + 11 - 34,46
81 * 9 + 99,828
21 + 46 * 23,1079
96 - 42 - 26,28
10 + 43 + 15,68
53 * 11 + 27,610
88 - 23 * 69,-1499
43 * 60 + 86,2666
73 - 53 - 76,-56
28 - 76 * 77,-5824
(19 + 47) * 17,1122
(16 + 84) * 94,9400
95 * 92 + 33,8773
76 * 70 + 49,5369
8 + 44 + 31,83
(6 + 24) * 0,0
58 + 85 * 21,1843
85 * 32 + 83,2803
58 * 96 + 41,5609
(8 + 64) * 18,1296
7 + 97 + 11,115
(13 + 64) * 0,0
(20 + 20) * 1,40
(37 + 46) * 79,6557
36 * 87 * 6,18792
18 * 73 * 67,88038
11 - 57 * 93,-5290
35 + 50 * 37,1885
59 - 35 - 75,-51
67 + 87 * 48,4243
65 - 83 * 20,-1595
42 - 75 * 56,-4158
78 + 42 - 36,84
18 * 47 * 2,1692
(37 + 78) * 19,2185
91 + 64 * 55,3611
89 * (42 + 25),5963
88 - 71 * 38,-2610
(72 + 19) * 35,3185
18 - 42 * 68,-2838
15 + 16 * 91,1471
92 + 36 - 28,100
75 + 69 - 33,111
43 - 93 - 36,-86
22 - 60 * 19,-1118
68 + 39 * 43,1745
90 + 63 - 46,107
61 + 66 * 36,2437
(57 + 18) * 19,1425
38 * 46 * 67,117116
66 * 81 * 43,229878
72 + 27 + 2,101
8 - 71 * 9,-631
77 - 35 * 63,-2128
67 * (34 + 6),2680
47 - 47 - 93,-93
98 - 56 * 26,-1358
71 + 41 - 15,97
81 + 78 - 56,103
(73 + 51) * 52,6448
79 - 51 - 98,-70
59 * 26 * 23,35282
2 + 0 + 71,73
92 * 46 + 39,4271
53 - 91 - 65,-103
99 + 71 - 68,102
94 + 60 + 8,162
2 * (61 + 60),242
85 - 36 - 30,19
87 * 96 * 98,818496
67 + 17 - 52,32
21 - 21 - 41,-41
57 + 11 - 74,-6
97 * 34 * 61,201178
(68 + 65) * 36,4788
96 * 20 + 27,1947
0 * (90 + 36),0
(75 + 28) * 63,6489
38 * 32 + 20,1236
47 - 58 * 85,-4883
64 - 64 * 88,-5568
16 + 48 * 73,3520
17 * 77 * 91,119119
91 * 24 + 66,2250
8 + 34 - 61,-19
(7 + 12) * 33,627
(92 + 66) * 65,10270
(88 + 90) * 89,15842
61 * 36 * 91,199836
(98 + 64) * 33,5346
6 * (63 + 15),468
39 * 95 + 57,3762
99 - 69 * 93,-6318
23 * 92 + 92,2208
23 + 90 - 23,90
16 + 56 + 11,83
39 * 8 + 44,356
54 + 40 + 66,160
80 - 81 - 81,-82
54 * 13 + 90,792
55 + 4 + 66,125
2 * 72 + 57,201
90 + 43 * 16,778
67 + 13 - 68,12
7 + 38 + 5,50
63 * 86 * 7,37926
(55 + 82) * 7,959
95 + 19 - 44,70
57 - 50 - 77,-70
26 * 47 * 85,103870
(91 + 40) * 22,2882
2 - 88 * 24,-2110
20 - 25 * 1,-5
(40 + 45) * 34,2890
95 + 14 * 69,1061
21 - 10 - 40,-29
78 - 52 - 41,-15
66 - 56 * 29,-1558
62 - 96 * 34,-3202
10 * 56 + 29,589
43 + 49 + 42,134
56 - 13 * 92,-1140
83 - 54 * 32,-1645
71 * 98 * 81,563598
67 - 67 * 33,-2144
30 + 93 - 88,35
64 - 44 - 50,-30
3 + 87 + 11,101
17 + 62 + 98,177
80 - 10 * 76,-680
22 + 59 * 4,258
99 * 50 + 69,5019
73 + 82 - 83,72
59 * 27 + 12,1605
70 + 38 * 28,1134
77 * 23 * 98,173558
(7 + 82) * 10,890
95 + 79 - 68,106
0 + 23 + 41,64
87 + 39 + 3,129
62 + 82 + 41,185
6 * (5 + 55),360
70 + 8 + 13,91
63 + 38 - 65,36
1 * 94 * 11,1034
83 - 43 * 36,-1465
3 + 4 - 38,-31
80 * (83 + 22),8400
94 * 64 + 32,6048
0 * (57 + 51),0
85 * (46 + 32),6630
56 * 24 * 7,9408
22 * (34 + 72),2332
53 * 96 * 43,218784
(95 + 85) * 78,14040
12 * 28 + 18,354
43 - 61 * 41,-2458
(74 + 1) * 20,1500
61 + 63 + 61,185
67 - 51 - 64,-48
(5 + 19) * 82,1968
4 * 41 * 83,13612
8 - 77 - 23,-92
66 + 70 - 0,136
23 * 40 + 83,1003
20 * 2 * 4,160
25 * (21 + 86),2675
(8 + 50) * 10,580
15 - 73 - 82,-140
26 + 58 + 75,159
21 + 97 - 95,23
26 - 31 - 44,-49
86 + 5 + 42,133
29 * 58 * 74,124468
12 * (36 + 79),1380
11 - 63 * 92,-5785
54 - 26 * 23,-544
90 * 24 * 61,131760
82 + 6 + 28,116
99 + 93 - 16,176
38 + 84 + 94,216
37 + 30 * 28,877
28 + 89 * 24,2164
90 * 37 + 22,3352
(64 + 32) * 28,2688
51 * (35 + 3),1938
81 * (88 + 73),13041
80 * 39 + 28,3148
94 - 72 * 86,-6098
51 + 62 * 43,2717
69 - 48 - 47,-26
83 * 51 + 48,4281
9 + 44 + 59,112
51 + 97 - 69,79
(30 + 75) * 93,9765
8 * 94 + 5,757
9 * 13 * 54,6318
64 * (26 + 84),7040
58 * 44 * 86,219472
33 - 88 - 9,-64
61 - 4 - 2,55
73 + 20 - 93,0
78 + 78 * 23,1872
10 + 11 - 25,-4
22 + 72 + 6,100
26 * 83 * 6,12948
28 * (74 + 64),3864
94 * 25 * 94,220900
78 - 10 * 24,-162
21 + 59 + 59,139
46 - 96 - 99,-149
67 * (10 + 51),4087
94 + 78 + 49,221
61 * (87 + 30),7137
60 + 70 + 67,197
15 * 94 + 33,1443
(35 + 97) * 36,4752
46 * 61 * 85,238510
45 * 66 + 50,3020
7 + 59 * 28,1659
(80 + 90) * 28,4760
57 * 6 + 60,402
96 - 88 - 95,-87
(71 + 14) * 54,4590
5 + 71 - 88,-12
89 + 7 * 7,138
16 + 51 - 35,32
12 * 96 * 48,55296
92 + 38 * 32,1308
17 + 4 * 43,189
82 * (32 + 33),5330
62 * 19 + 84,1262
78 + 16 - 2,92
43 + 5 * 33,208
7 * 18 * 72,9072
83 + 92 * 98,9099
92 - 21 - 41,30
17 - 72 - 10,-65
10 * (29 + 89),1180
17 + 83 * 3,266
11 * 96 + 4,1060
94 - 69 * 91,-6185
31 + 25 + 48,104
28 + 67 * 73,4919
54 - 40 * 69,-2706
22 * (42 + 86),2816
78 + 28 * 54,1590
0 * 4 * 22,0
93 * 32 + 19,2995
77 + 81 * 14,1211
31 - 5 * 66,-299
91 + 55 * 88,4931
40 + 51 + 27,118
83 * 22 + 95,1921
48 + 84 + 94,226
43 + 95 + 85,223
35 * (10 + 11),735
63 * (94 + 66),10080
76 - 87 * 95,-8189
21 * 20 * 71,29820
10 * 84 + 7,847
29 - 30 - 81,-82
52 - 70 * 77,-5338
46 * 25 + 12,1162
27 + 81 + 26,134
35 - 96 - 81,-142
47 * (22 + 45),3149
40 * 22 * 79,69520
64 * 82 + 57,5305
71 * (76 + 69),10295
71 + 8 - 19,60
25 + 64 - 86,3
(55 + 6) * 33,2013
55 * 13 * 57,40755
88 * 31 + 27,2755
87 + 99 + 16,202
30 - 1 * 64,-34
84 + 17 * 53,985
(47 + 95) * 64,9088
92 * 93 + 99,8655
86 * 67 * 32,184384
72 * 16 + 9,1161
55 * (8 + 40),2640
10 + 80 + 45,135
70 * 34 + 42,2422
24 - 14 - 66,-56
44 + 98 - 43,99
99 * (26 + 84),10890
10 * (51 + 62),1130
78 + 93 - 73,98
44 - 2 - 5,37
40 * (6 + 17),920
78 * (50 + 43),7254
37 * 67 + 39,2518
16 - 2 - 30,-16
4 * 97 * 3,1164
4 * 66 * 45,11880
54 * 65 + 12,3522
43 + 26 * 72,1915
95 - 20 * 22,-345
36 * 14 * 43,21672
9 * (19 + 23),378
0 * 75 * 75,0
39 - 5 - 97,-63
69 - 18 * 4,-3
14 + 71 + 71,156
64 * 59 + 78,3854
23 - 18 * 92,-1633
70 * 26 + 74,1894
28 - 55 * 83,-4537
25 - 86 - 13,-74
79 - 75 - 88,-84
(53 + 63) * 50,5800
(16 + 46) * 96,5952
54 * (92 + 2),5076
24 + 97 - 78,43
16 * 24 * 33,12672
8 - 15 * 6,-82
80 + 88 + 59,227
24 + 82 * 36,2976
89 * 69 + 53,6194
32 * 20 + 50,690
13 + 19 + 83,115
73 + 61 - 5,129
78 - 86 - 21,-29
78 - 0 * 15,78
(56 + 82) * 80,11040
33 * 29 * 77,73689
39 - 62 * 53,-3247
44 * (2 + 22),1056
46 * (24 + 72),4416
26 * (11 + 45),1456
8 * 44 * 41,14432
54 + 61 * 12,786
93 + 65 + 70,228
16 * 68 * 87,94656
42 * (49 + 47),4032
38 + 13 * 24,350
22 * 21 + 13,475
62 + 2 * 52,166
57 * 77 + 34,4423
78 + 76 - 89,65
(17 + 78) * 70,6650
42 * (21 + 90),4662
95 - 0 * 0,95
92 - 5 - 0,87
(55 + 38) * 97,9021
13 + 82 + 39,134
46 - 67 - 57,-78
30 * 95 + 56,2906
86 + 94 - 29,151
32 + 16 - 37,11
6 - 96 - 53,-143
23 + 97 + 50,170
80 + 88 * 64,5712
30 - 76 * 90,-6810
(44 + 56) * 8,800
97 - 67 * 63,-4124
10 - 11 * 92,-1002
94 * 88 + 79,8351
51 + 80 - 15,116
49 * 42 + 22,2080
15 + 27 * 15,420
29 * (58 + 32),2610
80 * 49 * 39,152880
70 * 49 * 60,205800
70 - 68 * 59,-3942
(45 + 54) * 2,198
67 * 53 * 27,95877
10 + 13 * 45,595
99 * 47 + 26,4679
51 * 12 + 77,689
23 * 18 * 20,8280
57 - 5 * 99,-438
34 - 54 - 63,-83
95 * 33 + 12,3147
17 + 71 * 37,2644
72 + 89 - 54,107
54 - 29 * 63,-1773
29 * (23 + 70),2697
74 + 40 + 62,176
85 - 60 - 57,-32
76 - 1 * 62,14
44 * 84 + 96,3792
42 * 70 + 84,3024
38 * 98 + 11,3735
28 * 61 + 45,1753
33 * 31 * 85,86955
93 * 64 + 97,6049
27 + 2 * 54,135
50 + 82 - 82,50
12 + 18 - 23,7
(69 + 91) * 23,3680
51 + 97 - 55,93
41 - 0 * 39,41
4 * (13 + 40),212
37 + 33 - 77,-7
83 + 43 * 48,2147
(46 + 69) * 31,3565
38 - 48 - 97,-107
40 - 73 - 88,-121
38 - 99 - 20,-81
50 * 32 + 15,1615
91 - 70 - 92,-71
91 * (75 + 58),12103
(36 + 50) * 71,6106
74 + 8 * 34,346
43 * (68 + 57),5375
46 - 67 - 86,-107
30 - 19 - 36,-25
46 * (68 + 61),5934
38 + 0 * 38,38
97 * (22 + 54),7372
29 + 19 + 37,85
8 + 90 * 15,1358
62 * 23 + 71,1497
50 - 42 * 73,-3016
77 - 43 - 95,-61
63 * (14 + 6),1260
(94 + 89) * 20,3660
(89 + 39) * 50,6400
42 * 16 * 35,23520
29 + 65 - 35,59
34 * 55 + 99,1969
79 * 9 * 59,41949
54 + 65 + 9,128
54 + 78 + 96,228
34 - 51 * 26,-1292
11 * (29 + 72),1111
25 * 83 * 76,157700
25 + 98 * 30,2965
(10 + 62) * 30,2160
66 * 13 + 51,909
(22 + 81) * 1,103
20 + 96 * 45,4340
(28 + 95) * 13,1599
15 - 60 - 70,-115
10 - 4 - 18,-12
77 * 25 * 29,55825
(65 + 83) * 86,12728
98 + 24 + 41,163
75 + 17 + 96,188
35 * (14 + 81),3325
79 + 94 + 8,181
10 - 36 * 32,-1142
15 * 65 + 62,1037
56 + 14 * 4,112
73 + 95 * 3,358
70 * 28 + 89,2049
0 - 25 * 95,-2375
44 + 71 + 73,188
(48 + 21) * 68,4692
51 * (60 + 8),3468
90 + 44 * 37,1718
92 * 10 * 28,25760
48 * 17 + 28,844
31 + 96 * 6,607
97 - 25 * 26,-553
13 + 55 * 85,4688
36 + 45 - 58,23
50 + 77 + 33,160
69 + 46 + 2,117
3 * (90 + 11),303
37 - 71 * 74,-5217
17 * 88 * 14,20944
23 + 11 + 2,36
90 * (71 + 32),9270
77 + 83 * 82,6883
95 - 5 * 58,-195
(47 + 9) * 18,1008
92 * 31 * 76,216752
40 + 83 + 99,222
(83 + 43) * 30,3780
7 + 81 * 31,2518
67 * (21 + 24),3015
96 * 94 + 40,9064
15 * (15 + 74),1335
4 + 28 * 72,2020
92 * 47 + 42,4366
58 * 24 + 33,1425
36 + 59 - 45,50
51 * 3 * 4,612
22 - 31 - 32,-41
76 * (61 + 93),11704
69 + 10 - 67,12
3 + 48 - 82,-31
92 + 66 - 68,90
88 + 55 - 85,58
24 * (40 + 2),1008
76 - 75 - 43,-42
91 * 10 * 24,21840
38 - 9 * 53,-439
82 * 62 * 84,427056
84 * (71 + 53),10416
1 + 63 + 51,115
4 * (14 + 73),348
40 * (67 + 84),6040
76 * 79 * 94,564376
14 + 28 + 64,106
0 - 92 * 24,-2208
58 * (84 + 91),10150
68 + 62 + 51,181
67 + 0 + 47,114
73 + 90 * 0,73
23 * 99 + 18,2295
95 - 59 * 26,-1439
66 + 32 + 92,190
61 + 54 - 22,93
53 - 65 * 2,-77
(65 + 75) * 28,3920
66 * (55 + 57),7392
(62 + 71) * 90,11970
11 + 10 - 19,2
62 - 46 * 90,-4078
79 - 94 * 46,-4245
42 * 61 * 58,148596
20 + 87 - 49,58
64 - 85 * 56,-4696
22 * 2 * 79,3476
35 + 25 - 2,58
8 * 46 + 75,443
4 * 77 * 60,18480
(7 + 68) * 88,6600
6 * 58 * 68,23664
1 + 94 * 76,7145
12 * 15 * 96,17280
(29 + 83) * 78,8736
46 - 78 - 2,-34
64 - 24 * 56,-1280
(77 + 37) * 10,1140
75 * (12 + 49),4575
32 - 89 - 33,-90
94 * (57 + 3),5640
13 * 33 * 0,0
(86 + 8) * 33,3102
90 - 74 * 26,-1834
15 + 21 + 2,38
(53 + 3) * 82,4592
22 - 94 * 57,-5336
97 - 18 - 68,11
(94 + 43) * 90,12330
14 * (5 + 50),770
71 * 47 * 97,323689
0 * 78 * 49,0
41 * 3 + 62,185
(87 + 78) * 8,1320
69 * 79 + 10,5461
59 * (75 + 26),5959
78 + 89 * 74,6664
49 * 60 + 92,3032
97 * (2 + 60),6014
73 + 39 * 33,1360
14 - 19 - 68,-73
70 + 30 - 68,32
23 + 47 + 77,147
89 - 73 * 60,-4291
72 * (51 + 60),7992
89 * 41 * 88,321112
96 - 15 - 34,47
46 * 14 * 64,41216
(90 + 13) * 85,8755
24 + 9 * 34,330
54 * (20 + 45),3510
11 * 21 * 22,5082
4 + 8 - 45,-33
63 - 1 * 49,14
36 + 75 - 42,69
91 + 10 + 68,169
54 + 89 + 79,222
14 - 20 * 18,-346
45 + 45 + 9,99
22 + 57 + 90,169
68 + 55 - 65,58
74 - 46 * 73,-3284
32 * 69 * 92,203136
62 * 92 * 20,114080
41 + 15 - 40,16
90 + 83 - 89,84
69 + 1 - 44,26
93 * (63 + 32),8835
73 - 26 - 99,-52
5 * 40 * 48,9600
53 * (47 + 59),5618
22 - 91 * 39,-3527
48 - 2 - 99,-53
93 + 73 * 55,4108
71 - 58 * 42,-2365
83 + 46 + 97,226
91 + 31 * 73,2354
69 + 36 - 12,93
25 + 27 - 6,46
64 - 41 - 26,-3
54 + 46 - 14,86
9 - 5 * 24,-111
93 - 89 - 85,-81
91 - 64 * 52,-3237
55 + 44 + 36,135
42 + 79 + 52,173
0 - 54 * 54,-2916
(59 + 7) * 99,6534
11 + 58 - 2,67
21 - 28 - 19,-26
38 * (79 + 9),3344
0 * 8 + 70,70
92 * (97 + 33),11960
53 * 93 * 49,241521
18 + 43 + 88,149
46 * 12 + 33,585
89 * 98 + 43,8765
3 - 3 - 86,-86
89 - 39 - 39,11
20 + 51 - 50,21
(17 + 72) * 91,8099
26 - 9 * 96,-838
50 * (33 + 74),5350
71 * 24 * 87,148248
69 + 77 * 20,1609
43 + 75 * 43,3268
82 + 26 + 23,131
87 - 55 * 78,-4203
21 + 66 - 31,56
(88 + 11) * 28,2772
52 - 53 * 39,-2015
27 * 1 + 70,97
11 * (65 + 63),1408
43 * 90 * 27,104490
3 + 51 * 68,3471
(22 + 64) * 42,3612
28 + 69 * 6,442
67 - 17 - 22,28
95 - 34 - 95,-34
90 * 26 * 10,23400
81 * 24 * 56,108864
10 * 44 * 69,30360
37 * (70 + 43),4181
39 - 17 - 99,-77
24 - 22 * 91,-1978
56 * (10 + 60),3920
15 * 40 * 64,38400
34 + 36 + 56,126
84 + 5 - 17,72
73 * (37 + 83),8760
44 + 65 + 26,135
65 * 39 * 21,53235
58 - 26 * 42,-1034
10 - 96 * 25,-2390
26 * 21 * 87,47502
49 * (66 + 64),6370
18 + 54 + 92,164
51 * 53 + 74,2777
55 + 84 - 27,112
(87 + 70) * 12,1884
(12 + 22) * 80,2720
(74 + 72) * 45,6570
91 + 46 + 6,143
80 + 66 * 44,2984
72 * 24 * 6,10368
27 + 25 * 26,677
11 * 9 + 41,140
23 + 81 - 66,38
45 * (68 + 26),4230
13 * (84 + 48),1716
77 + 33 - 55,55
4 * 18 + 87,159
98 * (16 + 3),1862
(50 + 0) * 75,3750
5 - 38 - 29,-62
49 + 94 + 51,194
78 * 90 * 19,133380
71 + 7 * 49,414
99 + 51 * 20,1119
91 * (64 + 11),6825
38 * 67 + 22,2568
(74 + 92) * 52,8632
77 + 97 + 69,243
15 + 23 - 48,-10
92 * (69 + 32),9292
67 * 71 + 59,4816
55 * 74 + 66,4136
89 + 34 - 68,55
46 + 52 * 15,826
35 + 95 * 13,1270
8 * 77 * 94,57904
74 * 60 * 21,93240
70 - 84 * 83,-6902
25 * 32 * 25,20000
88 - 64 * 38,-2344
14 * 43 + 48,650
36 + 7 * 56,428
25 - 37 * 23,-826
5 + 91 + 69,165
1 * 65 * 19,1235
(23 + 32) * 45,2475
42 * (17 + 87),4368
47 * (47 + 76),5781
51 + 71 * 48,3459
82 * 0 + 90,90
53 * (95 + 96),10123
5 * 9 + 12,57
(91 + 17) * 38,4104
56 - 65 * 49,-3129
48 + 33 - 60,21
44 - 7 - 68,-31
68 + 46 * 43,2046
80 * 57 + 63,4623
3 * 40 + 51,171
(58 + 52) * 71,7810
53 * 80 * 5,21200
37 + 27 * 96,2629
44 - 28 - 0,16
78 + 38 - 1,115
36 + 47 * 58,2762
70 - 65 - 1,4
(10 + 83) * 55,5115
(24 + 93) * 42,4914
(33 + 24) * 55,3135
75 * 65 * 19,92625
61 + 70 * 4,341
40 + 68 + 67,175
81 + 18 + 78,177
17 * 84 + 2,1430
7 * 63 + 54,495
89 + 54 + 20,163
32 * (46 + 55),3232
(96 + 6) * 88,8976
(57 + 96) * 31,4743
6 * (11 + 20),186
(18 + 1) * 3,57
31 + 2 + 46,79
75 * 23 * 65,112125
41 * 80 * 79,259120
14 + 90 * 28,2534
52 + 95 + 24,171
15 * 67 * 26,26130
95 + 12 * 40,575
17 + 4 * 13,69
(53 + 69) * 70,8540
78 - 5 - 73,0
79 * 81 + 98,6497
83 + 55 - 13,125
34 + 69 - 59,44
26 * (57 + 93),3900
0 + 69 + 83,152
68 * 25 + 92,1792
65 - 74 - 67,-76
(11 + 0) * 94,1034
56 * 85 * 55,261800
7 + 38 + 3,48
(88 + 31) * 67,7973
36 * 65 + 96,2436
34 * (50 + 62),3808
54 * (29 + 55),4536
1 + 35 * 78,2731
28 * 86 + 5,2413
(13 + 99) * 56,6272
13 * 16 * 66,13728
13 - 1 - 72,-60
15 + 88 * 40,3535
5 * (44 + 17),305
77 + 86 - 39,124
48 * 56 + 40,2728
38 - 67 * 16,-1034
(92 + 78) * 68,11560
70 + 92 * 86,7982
22 * (96 + 8),2288
35 * 35 + 41,1266
58 * 35 + 38,2068
62 + 44 + 39,145
89 - 29 * 57,-1564
55 + 5 * 18,145
(55 + 74) * 41,5289
52 * 37 + 5,1929
7 + 95 - 19,83
37 * 2 * 45,3330
20 + 31 * 85,2655
17 * (98 + 22),2040
71 - 40 * 18,-649
68 - 40 * 83,-3252
49 * 10 * 14,6860
80 + 54 * 35,1970
17 * 12 * 81,16524
29 + 88 + 69,186
36 * (41 + 33),2664
(16 + 98) * 51,5814
45 + 42 + 35,122
56 * 63 * 9,31752
93 + 7 * 25,268
(0 + 26) * 20,520
92 + 47 * 17,891
30 + 42 - 51,21
46 * 73 * 77,258566
94 * 57 * 70,375060
66 * 46 * 24,72864
89 * (76 + 99),15575
(40 + 2) * 31,1302
18 + 99 + 16,133
9 + 88 + 72,169
64 - 26 - 52,-14
6 + 53 + 93,152
74 - 15 * 42,-556
23 - 44 - 33,-54
17 + 58 * 34,1989
57 + 62 - 22,97
9 - 58 - 58,-107
98 - 62 - 62,-26
90 * (70 + 1),6390
99 + 8 + 0,107
97 * 16 + 90,1642
6 * (26 + 63),534
(89 + 70) * 58,9222
96 - 48 - 87,-39
31 + 87 - 16,102
93 * 90 + 46,8416
57 + 67 - 66,58
2 * 14 * 15,420
8 * 81 + 67,715
48 * 35 + 21,1701
42 * (88 + 22),4620
32 * (83 + 53),4352
38 - 52 - 7,-21
68 * (8 + 90),6664
76 - 61 * 80,-4804
85 * (73 + 60),11305
62 + 89 - 26,125
(24 + 75) * 81,8019
22 * (54 + 8),1364
95 * 82 * 51,397290
(26 + 5) * 35,1085
84 * 94 * 55,434280
43 - 37 * 61,-2214
43 - 92 - 96,-145
30 - 38 * 67,-2516
78 * 16 * 88,109824
65 * (27 + 63),5850
11 + 40 - 14,37
88 + 17 * 1,105
58 + 56 - 93,21
68 - 49 - 16,3
88 - 14 * 87,-1130
55 * (14 + 86),5500
87 * 91 * 73,577941
30 - 23 - 5,2
88 - 75 - 77,-64
73 + 22 * 32,777
94 * (24 + 26),4700
18 + 79 + 16,113
70 + 80 + 19,169
76 * 35 + 40,2700
41 * 11 * 76,34276
57 * 40 + 53,2333
16 + 93 + 1,110
64 - 50 - 78,-64
0 * 8 * 17,0
2 - 12 - 13,-23
91 * 41 * 88,328328
20 - 95 - 75,-150
84 * (54 + 96),12600
(40 + 43) * 1,83
12 + 57 - 7,62
37 * (22 + 15),1369
63 * 8 * 9,4536
86 - 83 * 74,-6056
85 + 41 * 43,1848
32 - 39 * 75,-2893
61 - 74 - 8,-21
43 + 23 + 57,123
99 - 54 * 35,-1791
64 + 73 + 47,184
0 * (91 + 99),0
51 * (61 + 81),7242
16 - 95 - 42,-121
73 + 25 * 64,1673
15 * 86 * 12,15480
79 * 22 + 16,1754
73 * 76 * 66,366168
24 + 83 * 27,2265
48 + 19 + 25,92
68 - 81 - 92,-105
